X,0 (#4B7C81),1 (#90B2B5),2 (#388C93),3 (#75C4CA),4 (#4F6669),5 (#E4E7EB),6 (#2D5459),7 (#DFDEE3),8 (#243B43),9 (#6CBBC2),10 (#5CA6AC),11 (#DADDE1),12 (#17262B),13 (#D2D6D9),14 (#DDE2E6),15 (#A5CCD0),
0 (#4B7C81),1.000000,2.049520,1.187026,2.334891,1.309062,3.762600,1.782606,3.488447,2.525317,2.116978,1.668122,3.425236,3.336318,3.191860,3.577416,2.699980,
1 (#90B2B5),2.049520,1.000000,1.726600,1.139238,2.682949,1.835845,3.653486,1.702080,5.175686,1.032914,1.228639,1.671238,6.837850,1.557370,1.745490,1.317372,
2 (#388C93),1.187026,1.726600,1.000000,1.967009,1.553891,3.169770,2.116000,2.938812,2.997617,1.783430,1.405295,2.885560,3.960297,2.688955,3.013763,2.274575,
3 (#75C4CA),2.334891,1.139238,1.967009,1.000000,3.056517,1.611467,4.162190,1.494051,5.896339,1.102936,1.399712,1.466979,7.789940,1.367027,1.532155,1.156362,
4 (#4F6669),1.309062,2.682949,1.553891,3.056517,1.000000,4.925477,1.361743,4.566593,1.929104,2.771256,2.183675,4.483846,2.548633,4.178343,4.683059,3.534442,
5 (#E4E7EB),3.762600,1.835845,3.169770,1.611467,4.925477,1.000000,6.707233,1.078589,9.501756,1.777345,2.255590,1.098494,12.553232,1.178811,1.051765,1.393566,
6 (#2D5459),1.782606,3.653486,2.116000,4.162190,1.361743,6.707233,1.000000,6.218526,1.416643,3.773738,2.973604,6.105845,1.871596,5.689829,6.377122,4.813001,
7 (#DFDEE3),3.488447,1.702080,2.938812,1.494051,4.566593,1.078589,6.218526,1.000000,8.809432,1.647842,2.091242,1.018455,11.638569,1.092920,1.025504,1.292027,
8 (#243B43),2.525317,5.175686,2.997617,5.896339,1.929104,9.501756,1.416643,8.809432,1.000000,5.346040,4.212536,8.649804,1.321149,8.060457,9.034107,6.818305,
9 (#6CBBC2),2.116978,1.032914,1.783430,1.102936,2.771256,1.777345,3.773738,1.647842,5.346040,1.000000,1.269079,1.617983,7.062914,1.507743,1.689869,1.275394,
10 (#5CA6AC),1.668122,1.228639,1.405295,1.399712,2.183675,2.255590,2.973604,2.091242,4.212536,1.269079,1.000000,2.053348,5.565387,1.913445,2.144577,1.618575,
11 (#DADDE1),3.425236,1.671238,2.885560,1.466979,4.483846,1.098494,6.105845,1.018455,8.649804,1.617983,2.053348,1.000000,11.427677,1.073116,1.044429,1.268615,
12 (#17262B),3.336318,6.837850,3.960297,7.789940,2.548633,12.553232,1.871596,11.638569,1.321149,7.062914,5.565387,11.427677,1.000000,10.649062,11.935398,9.007994,
13 (#D2D6D9),3.191860,1.557370,2.688955,1.367027,4.178343,1.178811,5.689829,1.092920,8.060457,1.507743,1.913445,1.073116,10.649062,1.000000,1.120793,1.182179,
14 (#DDE2E6),3.577416,1.745490,3.013763,1.532155,4.683059,1.051765,6.377122,1.025504,9.034107,1.689869,2.144577,1.044429,11.935398,1.120793,1.000000,1.324978,
15 (#A5CCD0),2.699980,1.317372,2.274575,1.156362,3.534442,1.393566,4.813001,1.292027,6.818305,1.275394,1.618575,1.268615,9.007994,1.182179,1.324978,1.000000,
