X,0 (#164975),1 (#4FADEB),2 (#060C21),3 (#9BD9FD),4 (#5B9EF0),5 (#2B4CCD),6 (#1D4FAA),7 (#1C255E),8 (#2758D2),9 (#060A33),10 (#152492),11 (#0F2572),12 (#1230AC),13 (#0F298F),14 (#0C196D),15 (#0B144F),
0 (#164975),1.000000,3.792113,2.073378,6.121750,3.384054,1.344941,1.225975,1.520705,1.520847,2.041927,1.320545,1.468665,1.097735,1.294029,1.631397,1.828563,
1 (#4FADEB),3.792113,1.000000,7.862482,1.614337,1.120583,2.819540,3.093141,5.766687,2.493422,7.743218,5.007655,5.569345,4.162735,4.907105,6.186441,6.934119,
2 (#060C21),2.073378,7.862482,1.000000,12.692698,7.016422,2.788569,2.541909,1.363431,3.153290,1.015402,1.570093,1.411743,1.888778,1.602265,1.270922,1.133883,
3 (#9BD9FD),6.121750,1.614337,12.692698,1.000000,1.808999,4.551688,4.993373,9.309378,4.025224,12.500166,8.084044,8.990802,6.720058,7.921722,9.987003,11.194008,
4 (#5B9EF0),3.384054,1.120583,7.016422,1.808999,1.000000,2.516137,2.760297,5.146150,2.225112,6.909991,4.468795,4.970043,3.714794,4.379065,5.520735,6.187958,
5 (#2B4CCD),1.344941,2.819540,2.788569,4.551688,2.516137,1.000000,1.097038,2.045258,1.130791,2.746270,1.776054,1.975268,1.476388,1.740392,2.194132,2.459309,
6 (#1D4FAA),1.225975,3.093141,2.541909,4.993373,2.760297,1.097038,1.000000,1.864347,1.240521,2.503351,1.618954,1.800547,1.345795,1.586447,2.000051,2.241773,
7 (#1C255E),1.520705,5.766687,1.363431,9.309378,5.146150,2.045258,1.864347,1.000000,2.312760,1.342750,1.151574,1.035434,1.385312,1.175171,1.072789,1.202444,
8 (#2758D2),1.520847,2.493422,3.153290,4.025224,2.225112,1.130791,1.240521,2.312760,1.000000,3.105458,2.008346,2.233615,1.669487,1.968020,2.481105,2.780965,
9 (#060A33),2.041927,7.743218,1.015402,12.500166,6.909991,2.746270,2.503351,1.342750,3.105458,1.000000,1.546276,1.390328,1.860128,1.577961,1.251643,1.116684,
10 (#152492),1.320545,5.007655,1.570093,8.084044,4.468795,1.776054,1.618954,1.151574,2.008346,1.546276,1.000000,1.112166,1.202972,1.020491,1.235397,1.384704,
11 (#0F2572),1.468665,5.569345,1.411743,8.990802,4.970043,1.975268,1.800547,1.035434,2.233615,1.390328,1.112166,1.000000,1.337905,1.134955,1.110802,1.245051,
12 (#1230AC),1.097735,4.162735,1.888778,6.720058,3.714794,1.476388,1.345795,1.385312,1.669487,1.860128,1.202972,1.337905,1.000000,1.178818,1.486148,1.665761,
13 (#0F298F),1.294029,4.907105,1.602265,7.921722,4.379065,1.740392,1.586447,1.175171,1.968020,1.577961,1.020491,1.134955,1.178818,1.000000,1.260711,1.413078,
14 (#0C196D),1.631397,6.186441,1.270922,9.987003,5.520735,2.194132,2.000051,1.072789,2.481105,1.251643,1.235397,1.110802,1.486148,1.260711,1.000000,1.120858,
15 (#0B144F),1.828563,6.934119,1.133883,11.194008,6.187958,2.459309,2.241773,1.202444,2.780965,1.116684,1.384704,1.245051,1.665761,1.413078,1.120858,1.000000,
