X,0 (#897A95),1 (#A7837A),2 (#7A84B3),3 (#4B3535),4 (#9C8DA4),5 (#514042),6 (#946D6B),7 (#6B709C),8 (#BDABC3),9 (#E0CEDD),10 (#35354E),11 (#5E4F59),12 (#19161D),13 (#151526),14 (#2E272F),
0 (#897A95),1.000000,1.168357,1.094194,2.839775,1.279871,2.442984,1.133620,1.194123,1.851180,2.658742,2.982821,1.928542,4.499311,4.525139,3.648879,
1 (#A7837A),1.168357,1.000000,1.067779,3.317872,1.095445,2.854278,1.324473,1.395162,1.584430,2.275624,3.485001,2.253226,5.256803,5.286979,4.263194,
2 (#7A84B3),1.094194,1.067779,1.000000,3.107265,1.169693,2.673098,1.240401,1.306602,1.691820,2.429864,3.263785,2.110199,4.923120,4.951381,3.992582,
3 (#4B3535),2.839775,3.317872,3.107265,1.000000,3.634545,1.162421,2.505050,2.378126,5.256934,7.550230,1.050372,1.472499,1.584390,1.593485,1.284918,
4 (#9C8DA4),1.279871,1.095445,1.169693,3.634545,1.000000,3.126704,1.450887,1.528323,1.446380,2.077352,3.817626,2.468284,5.758537,5.791594,4.670093,
5 (#514042),2.442984,2.854278,2.673098,1.162421,3.126704,1.000000,2.155028,2.045840,4.522402,6.495265,1.220975,1.266752,1.841728,1.852300,1.493616,
6 (#946D6B),1.133620,1.324473,1.240401,2.505050,1.450887,2.155028,1.000000,1.053371,2.098535,3.014004,2.631235,1.701224,3.968976,3.991760,3.218784,
7 (#6B709C),1.194123,1.395162,1.306602,2.378126,1.528323,2.045840,1.053371,1.000000,2.210536,3.174865,2.497918,1.615028,3.767880,3.789509,3.055698,
8 (#BDABC3),1.851180,1.584430,1.691820,5.256934,1.446380,4.522402,2.098535,2.210536,1.000000,1.436242,5.521738,3.570077,8.329034,8.376846,6.754730,
9 (#E0CEDD),2.658742,2.275624,2.429864,7.550230,2.077352,6.495265,3.014004,3.174865,1.436242,1.000000,7.930553,5.127495,11.962510,12.031180,9.701428,
10 (#35354E),2.982821,3.485001,3.263785,1.050372,3.817626,1.220975,2.631235,2.497918,5.521738,7.930553,1.000000,1.546672,1.508408,1.517067,1.223298,
11 (#5E4F59),1.928542,2.253226,2.110199,1.472499,2.468284,1.266752,1.701224,1.615028,3.570077,5.127495,1.546672,1.000000,2.333012,2.346405,1.892040,
12 (#19161D),4.499311,5.256803,4.923120,1.584390,5.758537,1.841728,3.968976,3.767880,8.329034,11.962510,1.508408,2.333012,1.000000,1.005740,1.233067,
13 (#151526),4.525139,5.286979,4.951381,1.593485,5.791594,1.852300,3.991760,3.789509,8.376846,12.031180,1.517067,2.346405,1.005740,1.000000,1.240145,
14 (#2E272F),3.648879,4.263194,3.992582,1.284918,4.670093,1.493616,3.218784,3.055698,6.754730,9.701428,1.223298,1.892040,1.233067,1.240145,1.000000,
