X,0 (#B52D36),1 (#54639B),2 (#CBBFC0),3 (#D08E78),4 (#F9F5F3),5 (#D79F8C),6 (#635659),7 (#473E42),8 (#A48A77),9 (#3C476E),10 (#522F32),11 (#6E3847),12 (#936C65),13 (#ADA796),14 (#A5A195),15 (#29201F),
0 (#B52D36),1.000000,1.071208,3.463449,2.305196,5.712050,2.719228,1.128905,1.666983,1.909685,1.463554,1.873311,1.462879,1.347788,2.577003,2.396376,2.569426,
1 (#54639B),1.071208,1.000000,3.233216,2.151958,5.332342,2.538468,1.209293,1.785687,1.782739,1.567771,2.006706,1.567048,1.258194,2.405697,2.237077,2.752391,
2 (#CBBFC0),3.463449,3.233216,1.000000,1.502453,1.649238,1.273688,3.909904,5.773511,1.813623,5.068944,6.488115,5.066605,2.569727,1.343983,1.445286,8.899076,
3 (#D08E78),2.305196,2.151958,1.502453,1.000000,2.477902,1.179608,2.602347,3.842723,1.207108,3.373779,4.318349,3.372222,1.710354,1.117911,1.039554,5.923031,
4 (#F9F5F3),5.712050,5.332342,1.649238,2.477902,1.000000,2.100614,6.448362,9.521892,2.991095,8.359894,10.700445,8.356037,4.238091,2.216548,2.383620,14.676691,
5 (#D79F8C),2.719228,2.538468,1.273688,1.179608,2.100614,1.000000,3.069750,4.532908,1.423915,3.979738,5.093960,3.977901,2.017548,1.055190,1.134725,6.986857,
6 (#635659),1.128905,1.209293,3.909904,2.602347,6.448362,3.069750,1.000000,1.476637,2.155853,1.296437,1.659405,1.295839,1.521525,2.909191,2.705280,2.276034,
7 (#473E42),1.666983,1.785687,5.773511,3.842723,9.521892,4.532908,1.476637,1.000000,3.183413,1.138997,1.123773,1.139522,2.246741,4.295821,3.994718,1.541363,
8 (#A48A77),1.909685,1.782739,1.813623,1.207108,2.991095,1.423915,2.155853,3.183413,1.000000,2.794927,3.577434,2.793638,1.416903,1.349439,1.254854,4.906795,
9 (#3C476E),1.463554,1.567771,5.068944,3.373779,8.359894,3.979738,1.296437,1.138997,2.794927,1.000000,1.279974,1.000462,1.972561,3.771583,3.507225,1.755607,
10 (#522F32),1.873311,2.006706,6.488115,4.318349,10.700445,5.093960,1.659405,1.123773,3.577434,1.279974,1.000000,1.280565,2.524827,4.827527,4.489156,1.371596,
11 (#6E3847),1.462879,1.567048,5.066605,3.372222,8.356037,3.977901,1.295839,1.139522,2.793638,1.000462,1.280565,1.000000,1.971651,3.769843,3.505607,1.756418,
12 (#936C65),1.347788,1.258194,2.569727,1.710354,4.238091,2.017548,1.521525,2.246741,1.416903,1.972561,2.524827,1.971651,1.000000,1.912023,1.778006,3.463043,
13 (#ADA796),2.577003,2.405697,1.343983,1.117911,2.216548,1.055190,2.909191,4.295821,1.349439,3.771583,4.827527,3.769843,1.912023,1.000000,1.075375,6.621419,
14 (#A5A195),2.396376,2.237077,1.445286,1.039554,2.383620,1.134725,2.705280,3.994718,1.254854,3.507225,4.489156,3.505607,1.778006,1.075375,1.000000,6.157311,
15 (#29201F),2.569426,2.752391,8.899076,5.923031,14.676691,6.986857,2.276034,1.541363,4.906795,1.755607,1.371596,1.756418,3.463043,6.621419,6.157311,1.000000,
