X,0 (#9F9EE9),1 (#FC9F29),2 (#631234),3 (#2A97DB),4 (#364C64),5 (#5450AA),6 (#285F9B),7 (#CB2952),8 (#C32B9F),9 (#FDF40D),10 (#292358),11 (#161325),12 (#610C4F),13 (#4B0335),14 (#060E14),15 (#31032A),
0 (#9F9EE9),1.000000,1.186007,5.125026,1.304457,3.596979,2.751011,2.668891,2.147031,2.050003,2.121696,5.788491,7.401847,5.103195,6.263963,7.904028,7.256747,
1 (#FC9F29),1.186007,1.000000,6.078319,1.547096,4.266044,3.262719,3.165325,2.546395,2.431319,1.788940,6.865194,8.778646,6.052427,7.429107,9.374236,8.606556,
2 (#631234),5.125026,6.078319,1.000000,3.928857,1.424814,1.862961,1.920283,2.387030,2.500009,10.873749,1.129456,1.444256,1.004278,1.222231,1.542242,1.415943,
3 (#2A97DB),1.304457,1.547096,3.928857,1.000000,2.757453,2.108931,2.045978,1.645919,1.571537,2.767662,4.437471,5.674274,3.912121,4.801969,6.059247,5.563039,
4 (#364C64),3.596979,4.266044,1.424814,2.757453,1.000000,1.307512,1.347743,1.675327,1.754621,7.631698,1.609265,2.057796,1.418745,1.741451,2.197407,2.017456,
5 (#5450AA),2.751011,3.262719,1.862961,2.108931,1.307512,1.000000,1.030769,1.281309,1.341954,5.836809,2.104133,2.690592,1.855025,2.276968,2.873136,2.637848,
6 (#285F9B),2.668891,3.165325,1.920283,2.045978,1.347743,1.030769,1.000000,1.243061,1.301896,5.662577,2.168875,2.773379,1.912103,2.347029,2.961540,2.719012,
7 (#CB2952),2.147031,2.546395,2.387030,1.645919,1.675327,1.281309,1.243061,1.000000,1.047330,4.555348,2.696045,3.447481,2.376861,2.917501,3.681376,3.379899,
8 (#C32B9F),2.050003,2.431319,2.500009,1.571537,1.754621,1.341954,1.301896,1.047330,1.000000,4.349485,2.823650,3.610651,2.489359,3.055587,3.855617,3.539871,
9 (#FDF40D),2.121696,1.788940,10.873749,2.767662,7.631698,5.836809,5.662577,4.555348,4.349485,1.000000,12.281421,15.704473,10.827430,13.290229,16.769948,15.396614,
10 (#292358),5.788491,6.865194,1.129456,4.437471,1.609265,2.104133,2.168875,2.696045,2.823650,12.281421,1.000000,1.278718,1.134288,1.082141,1.365473,1.253651,
11 (#161325),7.401847,8.778646,1.444256,5.674274,2.057796,2.690592,2.773379,3.447481,3.610651,15.704473,1.278718,1.000000,1.450434,1.181656,1.067845,1.019995,
12 (#610C4F),5.103195,6.052427,1.004278,3.912121,1.418745,1.855025,1.912103,2.376861,2.489359,10.827430,1.134288,1.450434,1.000000,1.227459,1.548839,1.422001,
13 (#4B0335),6.263963,7.429107,1.222231,4.801969,1.741451,2.276968,2.347029,2.917501,3.055587,13.290229,1.082141,1.181656,1.227459,1.000000,1.261825,1.158491,
14 (#060E14),7.904028,9.374236,1.542242,6.059247,2.197407,2.873136,2.961540,3.681376,3.855617,16.769948,1.365473,1.067845,1.548839,1.261825,1.000000,1.089197,
15 (#31032A),7.256747,8.606556,1.415943,5.563039,2.017456,2.637848,2.719012,3.379899,3.539871,15.396614,1.253651,1.019995,1.422001,1.158491,1.089197,1.000000,
