X,base03 (#002b36),base02 (#073642),base01 (#586e75),base00 (#657b83),base0 (#839496),base1 (#93a1a1),base2 (#eee8d5),base3 (#fdf6e3),yellow (#b58900),orange (#cb4b16),red (#dc322f),magenta (#d33682),violet (#6c71c4),blue (#268bd2),cyan (#2aa198),green (#859900),
base03 (#002b36),1.000000,1.154810,2.789628,3.370173,4.747878,5.614163,12.252401,13.917486,4.677528,3.257975,3.245893,3.302632,3.429167,4.079219,4.753864,4.685239,
base02 (#073642),1.154810,1.000000,2.415659,2.918379,4.111393,4.861546,10.609884,12.051754,4.050474,2.821222,2.810759,2.859892,2.969464,3.532373,4.116576,4.057151,
base01 (#586e75),2.789628,2.415659,1.000000,1.208109,1.701976,2.012513,4.392128,4.989012,1.676757,1.167889,1.163558,1.183897,1.229256,1.462281,1.704121,1.679521,
base00 (#657b83),3.370173,2.918379,1.208109,1.000000,1.408793,1.665838,3.635541,4.129606,1.387919,1.034438,1.038288,1.020451,1.017505,1.210389,1.410570,1.390207,
base0 (#839496),4.747878,4.111393,1.701976,1.408793,1.000000,1.182457,2.580606,2.931307,1.015040,1.457309,1.462734,1.437604,1.384557,1.163918,1.001261,1.013369,
base1 (#93a1a1),5.614163,4.861546,2.012513,1.665838,1.182457,1.000000,2.182409,2.478996,1.200241,1.723206,1.729621,1.699906,1.637180,1.376284,1.180968,1.198266,
base2 (#eee8d5),12.252401,10.609884,4.392128,3.635541,2.580606,2.182409,1.000000,1.135899,2.619418,3.760741,3.774740,3.709890,3.572996,3.003614,2.577356,2.615107,
base3 (#fdf6e3),13.917486,12.051754,4.989012,4.129606,2.931307,2.478996,1.135899,1.000000,2.975394,4.271821,4.287722,4.214059,4.058562,3.411802,2.927616,2.970497,
yellow (#b58900),4.677528,4.050474,1.676757,1.387919,1.015040,1.200241,2.619418,2.975394,1.000000,1.435716,1.441061,1.416303,1.364042,1.146672,1.016320,1.001649,
orange (#cb4b16),3.257975,2.821222,1.167889,1.034438,1.457309,1.723206,3.760741,4.271821,1.435716,1.000000,1.003722,1.013707,1.052545,1.252072,1.459147,1.438083,
red (#dc322f),3.245893,2.810759,1.163558,1.038288,1.462734,1.729621,3.774740,4.287722,1.441061,1.003722,1.000000,1.017480,1.056463,1.256733,1.464578,1.443436,
magenta (#d33682),3.302632,2.859892,1.183897,1.020451,1.437604,1.699906,3.709890,4.214059,1.416303,1.013707,1.017480,1.000000,1.038313,1.235142,1.439417,1.418638,
violet (#6c71c4),3.429167,2.969464,1.229256,1.017505,1.384557,1.637180,3.572996,4.058562,1.364042,1.052545,1.056463,1.038313,1.000000,1.189566,1.386303,1.366291,
blue (#268bd2),4.079219,3.532373,1.462281,1.210389,1.163918,1.376284,3.003614,3.411802,1.146672,1.252072,1.256733,1.235142,1.189566,1.000000,1.165386,1.148563,
cyan (#2aa198),4.753864,4.116576,1.704121,1.410570,1.001261,1.180968,2.577356,2.927616,1.016320,1.459147,1.464578,1.439417,1.386303,1.165386,1.000000,1.014647,
green (#859900),4.685239,4.057151,1.679521,1.390207,1.013369,1.198266,2.615107,2.970497,1.001649,1.438083,1.443436,1.418638,1.366291,1.148563,1.014647,1.000000,
